2011-08-20 11:48:23 [INFO] Starting minecraft server version Beta 1.7.3
2011-08-20 11:48:23 [INFO] Loading properties
2011-08-20 11:48:23 [WARNING] server.properties does not exist
2011-08-20 11:48:23 [INFO] Generating new properties file
2011-08-20 11:48:23 [INFO] Starting Minecraft server on *:25565
2011-08-20 11:48:23 [WARNING] Failed to load ban list: java.io.FileNotFoundException: banned-players.txt (No such file or directory)
2011-08-20 11:48:23 [WARNING] Failed to load ip ban list: java.io.FileNotFoundException: banned-ips.txt (No such file or directory)
2011-08-20 11:48:23 [WARNING] Failed to load ip ban list: java.io.FileNotFoundException: ops.txt (No such file or directory)
2011-08-20 11:48:23 [WARNING] Failed to load white-list: java.io.FileNotFoundException: white-list.txt (No such file or directory)
2011-08-20 11:48:23 [INFO] Preparing level "world"
2011-08-20 11:48:24 [INFO] Preparing start region for level 0
2011-08-20 11:48:25 [INFO] Preparing spawn area: 4%
2011-08-20 11:48:26 [INFO] Preparing spawn area: 4%
2011-08-20 11:48:27 [INFO] Preparing spawn area: 8%
2011-08-20 11:48:28 [INFO] Preparing spawn area: 8%
2011-08-20 11:48:29 [INFO] Preparing spawn area: 8%
2011-08-20 11:48:30 [INFO] Preparing spawn area: 12%
2011-08-20 11:48:31 [INFO] Preparing spawn area: 12%
2011-08-20 11:48:32 [INFO] Preparing spawn area: 12%
2011-08-20 11:48:34 [INFO] Preparing spawn area: 16%
2011-08-20 11:48:35 [INFO] Preparing spawn area: 16%
2011-08-20 11:48:36 [INFO] Preparing spawn area: 20%
2011-08-20 11:48:37 [INFO] Preparing spawn area: 20%
2011-08-20 11:48:38 [INFO] Preparing spawn area: 20%
2011-08-20 11:48:39 [INFO] Preparing spawn area: 24%
2011-08-20 11:48:41 [INFO] Preparing spawn area: 24%
2011-08-20 11:48:42 [INFO] Preparing spawn area: 28%
2011-08-20 11:48:43 [INFO] Preparing spawn area: 28%
2011-08-20 11:48:44 [INFO] Preparing spawn area: 28%
2011-08-20 11:48:45 [INFO] Preparing spawn area: 32%
2011-08-20 11:48:46 [INFO] Preparing spawn area: 32%
2011-08-20 11:48:47 [INFO] Preparing spawn area: 32%
2011-08-20 11:48:48 [INFO] Preparing spawn area: 36%
2011-08-20 11:48:49 [INFO] Preparing spawn area: 36%
2011-08-20 11:48:50 [INFO] Preparing spawn area: 36%
2011-08-20 11:48:51 [INFO] Preparing spawn area: 40%
2011-08-20 11:48:52 [INFO] Preparing spawn area: 40%
2011-08-20 11:48:53 [INFO] Preparing spawn area: 40%
2011-08-20 11:48:55 [INFO] Preparing spawn area: 44%
2011-08-20 11:48:56 [INFO] Preparing spawn area: 44%
2011-08-20 11:48:57 [INFO] Preparing spawn area: 44%
2011-08-20 11:48:58 [INFO] Preparing spawn area: 44%
2011-08-20 11:48:59 [INFO] Preparing spawn area: 48%
2011-08-20 11:49:00 [INFO] Preparing spawn area: 48%
2011-08-20 11:49:01 [INFO] Preparing spawn area: 48%
2011-08-20 11:49:03 [INFO] Preparing spawn area: 52%
2011-08-20 11:49:04 [INFO] Preparing spawn area: 52%
2011-08-20 11:49:05 [INFO] Preparing spawn area: 52%
2011-08-20 11:49:06 [INFO] Preparing spawn area: 53%
2011-08-20 11:49:08 [INFO] Preparing spawn area: 56%
2011-08-20 11:49:10 [INFO] Preparing spawn area: 56%
2011-08-20 11:49:11 [INFO] Preparing spawn area: 57%
2011-08-20 11:49:12 [INFO] Preparing spawn area: 57%
2011-08-20 11:49:13 [INFO] Preparing spawn area: 61%
2011-08-20 11:49:14 [INFO] Preparing spawn area: 61%
2011-08-20 11:49:15 [INFO] Preparing spawn area: 61%
2011-08-20 11:49:16 [INFO] Preparing spawn area: 61%
2011-08-20 11:49:17 [INFO] Preparing spawn area: 65%
2011-08-20 11:49:19 [INFO] Preparing spawn area: 65%
2011-08-20 11:49:20 [INFO] Preparing spawn area: 65%
2011-08-20 11:49:21 [INFO] Preparing spawn area: 65%
2011-08-20 11:49:22 [INFO] Preparing spawn area: 69%
2011-08-20 11:49:23 [INFO] Preparing spawn area: 69%
2011-08-20 11:49:24 [INFO] Preparing spawn area: 69%
2011-08-20 11:49:25 [INFO] Preparing spawn area: 73%
2011-08-20 11:49:27 [INFO] Preparing spawn area: 73%
2011-08-20 11:49:28 [INFO] Preparing spawn area: 73%
2011-08-20 11:49:29 [INFO] Preparing spawn area: 77%
2011-08-20 11:49:30 [INFO] Preparing spawn area: 77%
2011-08-20 11:49:31 [INFO] Preparing spawn area: 77%
2011-08-20 11:49:33 [INFO] Preparing spawn area: 81%
2011-08-20 11:49:34 [INFO] Preparing spawn area: 81%
2011-08-20 11:49:35 [INFO] Preparing spawn area: 81%
2011-08-20 11:49:36 [INFO] Preparing spawn area: 81%
2011-08-20 11:49:37 [INFO] Preparing spawn area: 85%
2011-08-20 11:49:38 [INFO] Preparing spawn area: 85%
2011-08-20 11:49:39 [INFO] Preparing spawn area: 89%
2011-08-20 11:49:40 [INFO] Preparing spawn area: 89%
2011-08-20 11:49:42 [INFO] Preparing spawn area: 89%
2011-08-20 11:49:43 [INFO] Preparing spawn area: 93%
2011-08-20 11:49:44 [INFO] Preparing spawn area: 93%
2011-08-20 11:49:45 [INFO] Preparing spawn area: 93%
2011-08-20 11:49:46 [INFO] Preparing spawn area: 97%
2011-08-20 11:49:47 [INFO] Preparing spawn area: 97%
2011-08-20 11:49:48 [INFO] Preparing spawn area: 97%
2011-08-20 11:49:49 [INFO] Preparing start region for level 1
2011-08-20 11:49:49 [INFO] Preparing spawn area: 3%
2011-08-20 11:49:52 [INFO] Preparing spawn area: 3%
2011-08-20 11:49:53 [INFO] Preparing spawn area: 8%
2011-08-20 11:49:55 [INFO] Preparing spawn area: 8%
2011-08-20 11:49:56 [INFO] Preparing spawn area: 12%
2011-08-20 11:49:59 [INFO] Preparing spawn area: 12%
2011-08-20 11:50:00 [INFO] Preparing spawn area: 16%
2011-08-20 11:50:01 [INFO] Preparing spawn area: 20%
2011-08-20 11:50:05 [INFO] Preparing spawn area: 20%
2011-08-20 11:50:08 [INFO] Preparing spawn area: 20%
2011-08-20 11:50:10 [INFO] Preparing spawn area: 24%
2011-08-20 11:50:12 [INFO] Preparing spawn area: 24%
2011-08-20 11:50:13 [INFO] Preparing spawn area: 28%
2011-08-20 11:50:14 [INFO] Preparing spawn area: 32%
2011-08-20 11:50:26 [INFO] Preparing spawn area: 32%
2011-08-20 11:50:28 [INFO] Preparing spawn area: 32%
2011-08-20 11:50:32 [INFO] Preparing spawn area: 36%
2011-08-20 11:50:38 [INFO] Preparing spawn area: 36%
2011-08-20 11:50:45 [INFO] Preparing spawn area: 40%
2011-08-20 11:50:46 [INFO] Preparing spawn area: 40%
2011-08-20 11:50:50 [INFO] Preparing spawn area: 44%
2011-08-20 11:50:51 [INFO] Preparing spawn area: 44%
2011-08-20 11:50:52 [INFO] Preparing spawn area: 44%
2011-08-20 11:50:53 [INFO] Preparing spawn area: 44%
2011-08-20 11:50:54 [INFO] Preparing spawn area: 44%
2011-08-20 11:50:56 [INFO] Preparing spawn area: 48%
2011-08-20 11:50:58 [INFO] Preparing spawn area: 48%
2011-08-20 11:50:59 [INFO] Preparing spawn area: 48%
2011-08-20 11:51:00 [INFO] Preparing spawn area: 48%
2011-08-20 11:51:02 [INFO] Preparing spawn area: 52%
2011-08-20 11:51:03 [INFO] Preparing spawn area: 53%
2011-08-20 11:51:04 [INFO] Preparing spawn area: 56%
2011-08-20 11:51:14 [INFO] Preparing spawn area: 56%
2011-08-20 11:51:15 [INFO] Preparing spawn area: 56%
2011-08-20 11:51:17 [INFO] Preparing spawn area: 57%
2011-08-20 11:51:18 [INFO] Preparing spawn area: 57%
2011-08-20 11:51:20 [INFO] Preparing spawn area: 61%
2011-08-20 11:51:27 [INFO] Preparing spawn area: 61%
2011-08-20 11:51:28 [INFO] Preparing spawn area: 61%
2011-08-20 11:51:30 [INFO] Preparing spawn area: 61%
2011-08-20 11:51:31 [INFO] Preparing spawn area: 65%
2011-08-20 11:51:35 [INFO] Preparing spawn area: 65%
2011-08-20 11:51:36 [INFO] Preparing spawn area: 65%
2011-08-20 11:51:37 [INFO] Preparing spawn area: 69%
2011-08-20 11:51:38 [INFO] Preparing spawn area: 69%
2011-08-20 11:51:40 [INFO] Preparing spawn area: 69%
2011-08-20 11:51:43 [INFO] Preparing spawn area: 69%
2011-08-20 11:51:44 [INFO] Preparing spawn area: 69%
2011-08-20 11:51:45 [INFO] Preparing spawn area: 73%
2011-08-20 11:51:47 [INFO] Preparing spawn area: 73%
2011-08-20 11:51:49 [INFO] Preparing spawn area: 73%
2011-08-20 11:51:51 [INFO] Preparing spawn area: 73%
2011-08-20 11:51:52 [INFO] Preparing spawn area: 73%
2011-08-20 11:51:53 [INFO] Preparing spawn area: 77%
2011-08-20 11:51:55 [INFO] Preparing spawn area: 77%
2011-08-20 11:51:56 [INFO] Preparing spawn area: 77%
2011-08-20 11:51:57 [INFO] Preparing spawn area: 77%
2011-08-20 11:51:58 [INFO] Preparing spawn area: 77%
2011-08-20 11:51:59 [INFO] Preparing spawn area: 81%
2011-08-20 11:52:02 [INFO] Preparing spawn area: 81%
2011-08-20 11:52:03 [INFO] Preparing spawn area: 81%
2011-08-20 11:52:05 [INFO] Preparing spawn area: 85%
2011-08-20 11:52:06 [INFO] Preparing spawn area: 85%
2011-08-20 11:52:11 [INFO] Preparing spawn area: 85%
2011-08-20 11:52:13 [INFO] Preparing spawn area: 85%
2011-08-20 11:52:14 [INFO] Preparing spawn area: 89%
2011-08-20 11:52:16 [INFO] Preparing spawn area: 89%
2011-08-20 11:52:17 [INFO] Preparing spawn area: 89%
2011-08-20 11:52:18 [INFO] Preparing spawn area: 89%
2011-08-20 11:52:20 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:21 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:22 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:24 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:25 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:27 [INFO] Preparing spawn area: 93%
2011-08-20 11:52:29 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:30 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:32 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:33 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:35 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:36 [INFO] Preparing spawn area: 97%
2011-08-20 11:52:37 [INFO] Done (254009226004ns)! For help, type "help" or "?"
2011-08-20 11:52:53 [INFO] akofink [/152.7.5.138:43030] logged in with entity id 5260 at (-81.5, 72.62000000476837, 201.5)
2011-08-20 11:53:35 [INFO] To run the server without a gui, start it like this:
2011-08-20 11:53:35 [INFO]    java -Xmx1024M -Xms1024M -jar minecraft_server.jar nogui
2011-08-20 11:53:35 [INFO] Console commands:
2011-08-20 11:53:35 [INFO]    help  or  ?               shows this message
2011-08-20 11:53:35 [INFO]    kick <player>             removes a player from the server
2011-08-20 11:53:35 [INFO]    ban <player>              bans a player from the server
2011-08-20 11:53:35 [INFO]    pardon <player>           pardons a banned player so that they can connect again
2011-08-20 11:53:35 [INFO]    ban-ip <ip>               bans an IP address from the server
2011-08-20 11:53:35 [INFO]    pardon-ip <ip>            pardons a banned IP address so that they can connect again
2011-08-20 11:53:35 [INFO]    op <player>               turns a player into an op
2011-08-20 11:53:35 [INFO]    deop <player>             removes op status from a player
2011-08-20 11:53:35 [INFO]    tp <player1> <player2>    moves one player to the same location as another player
2011-08-20 11:53:35 [INFO]    give <player> <id> [num]  gives a player a resource
2011-08-20 11:53:35 [INFO]    tell <player> <message>   sends a private message to a player
2011-08-20 11:53:35 [INFO]    stop                      gracefully stops the server
2011-08-20 11:53:35 [INFO]    save-all                  forces a server-wide level save
2011-08-20 11:53:35 [INFO]    save-off                  disables terrain saving (useful for backup scripts)
2011-08-20 11:53:35 [INFO]    save-on                   re-enables terrain saving
2011-08-20 11:53:35 [INFO]    list                      lists all currently connected players
2011-08-20 11:53:35 [INFO]    say <message>             broadcasts a message to all players
2011-08-20 11:53:35 [INFO]    time <add|set> <amount>   adds to or sets the world time (0-24000)
2011-08-20 11:53:45 [INFO] CONSOLE: Opping akofink
2011-08-20 11:53:58 [INFO] akofink issued server command: say hello
2011-08-20 11:53:58 [INFO] [akofink] hello
2011-08-20 11:54:32 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 11:54:32 [INFO] akofink: Giving akofink some 57
2011-08-20 11:56:17 [INFO] akofink issued server command: give akofink 330
2011-08-20 11:56:17 [INFO] akofink: Giving akofink some 330
2011-08-20 11:58:22 [INFO] akofink issued server command: give akofink 71
2011-08-20 11:58:22 [INFO] akofink: Giving akofink some 71
2011-08-20 11:58:50 [INFO] akofink issued server command: give akofink 276
2011-08-20 11:58:50 [INFO] akofink: Giving akofink some 276
2011-08-20 11:58:58 [INFO] akofink issued server command: give akofink 277
2011-08-20 11:58:58 [INFO] akofink: Giving akofink some 277
2011-08-20 11:59:07 [INFO] akofink issued server command: give akofink 278
2011-08-20 11:59:07 [INFO] akofink: Giving akofink some 278
2011-08-20 11:59:13 [INFO] akofink issued server command: give akofink 279
2011-08-20 11:59:13 [INFO] akofink: Giving akofink some 279
2011-08-20 11:59:30 [INFO] akofink issued server command: give akofink 293
2011-08-20 11:59:30 [INFO] akofink: Giving akofink some 293
2011-08-20 12:02:11 [INFO] akofink issued server command: give akofink 310
2011-08-20 12:02:11 [INFO] akofink: Giving akofink some 310
2011-08-20 12:02:15 [INFO] akofink issued server command: give akofink 311
2011-08-20 12:02:15 [INFO] akofink: Giving akofink some 311
2011-08-20 12:02:19 [INFO] akofink issued server command: give akofink 312
2011-08-20 12:02:19 [INFO] akofink: Giving akofink some 312
2011-08-20 12:02:24 [INFO] akofink issued server command: give akofink 313
2011-08-20 12:02:24 [INFO] akofink: Giving akofink some 313
2011-08-20 12:03:27 [INFO] akofink issued server command: give akofink 50 64
2011-08-20 12:03:27 [INFO] akofink: Giving akofink some 50
2011-08-20 12:04:57 [INFO] akofink issued server command: time set 7000
2011-08-20 12:04:57 [INFO] akofink: Set time to 7000
2011-08-20 12:05:49 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:05:49 [INFO] akofink: Giving akofink some 57
2011-08-20 12:05:54 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:05:54 [INFO] akofink: Giving akofink some 57
2011-08-20 12:08:53 [INFO] akofink issued server command: give akofink 65 64
2011-08-20 12:08:53 [INFO] akofink: Giving akofink some 65
2011-08-20 12:09:30 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:09:30 [INFO] akofink: Giving akofink some 57
2011-08-20 12:14:10 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:14:10 [INFO] akofink: Giving akofink some 57
2011-08-20 12:15:40 [INFO] akofink issued server command: time set 7000
2011-08-20 12:15:40 [INFO] akofink: Set time to 7000
2011-08-20 12:18:31 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:18:31 [INFO] akofink: Giving akofink some 57
2011-08-20 12:18:37 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:18:37 [INFO] akofink: Giving akofink some 57
2011-08-20 12:19:59 [INFO] akofink issued server command: time set 7000
2011-08-20 12:19:59 [INFO] akofink: Set time to 7000
2011-08-20 12:23:51 [INFO] akofink issued server command: give akofink 57 64
2011-08-20 12:23:51 [INFO] akofink: Giving akofink some 57
2011-08-20 12:26:28 [INFO] akofink issued server command: time set 7000
2011-08-20 12:26:28 [INFO] akofink: Set time to 7000
2011-08-20 12:30:50 [INFO] akofink issued server command: time set 7000
2011-08-20 12:30:50 [INFO] akofink: Set time to 7000
2011-08-20 12:35:08 [INFO] akofink issued server command: time set 7000
2011-08-20 12:35:08 [INFO] akofink: Set time to 7000
2011-08-20 12:39:42 [INFO] akofink issued server command: time set 7000
2011-08-20 12:39:42 [INFO] akofink: Set time to 7000
2011-08-20 12:41:07 [INFO] akofink issued server command: give akofink 333
2011-08-20 12:41:07 [INFO] akofink: Giving akofink some 333
